source	target	edge
Container-DMF_Container_Falcon_Tube	has stirbar	has_property
Container-DMF_Container_Falcon_Tube-has stirbar	False	has_value
Container-DMF_Container_Falcon_Tube	is capped	has_property
Container-DMF_Container_Falcon_Tube-is capped	False	has_value
Container-Acetic_Acid_Container	current hardware	has_property
Container-Acetic_Acid_Container-current hardware	ot2_holder_15ml	has_value
Container-Acetic_Acid_Container	deck position	has_property
Container-Acetic_Acid_Container-deck position	0	has_value
Container-Acetic_Acid_Container	slot number	has_property
Container-Acetic_Acid_Container-slot number	3	has_value
Container-Acetic_Acid_Container	name	has_property
Container-Acetic_Acid_Container-name	Acetic_Acid_Container	has_value
Container-Acetic_Acid_Container	current volume	has_property
Container-Acetic_Acid_Container-current volume	15 mL	has_value
Container-Acetic_Acid_Container	max volume	has_property
Container-Acetic_Acid_Container-max volume	None	has_value
Container-Acetic_Acid_Container	container type	has_property
Container-Acetic_Acid_Container-container type	FALCON_TUBE_15_ML	has_value
Container-Acetic_Acid_Container	has stirbar	has_property
Container-Acetic_Acid_Container-has stirbar	False	has_value
Container-Acetic_Acid_Container	is capped	has_property
Container-Acetic_Acid_Container-is capped	False	has_value
Container-DAP_Container	current hardware	has_property
Container-DAP_Container-current hardware	ot2_holder_15ml	has_value
Container-DAP_Container	deck position	has_property
Container-DAP_Container-deck position	0	has_value
Container-DAP_Container	slot number	has_property
Container-DAP_Container-slot number	4	has_value
Container-DAP_Container	name	has_property
Container-DAP_Container-name	DAP_Container	has_value
Container-DAP_Container	current volume	has_property
Container-DAP_Container-current volume	15 mL	has_value
Container-DAP_Container	max volume	has_property
Container-DAP_Container-max volume	None	has_value
Container-DAP_Container	container type	has_property
Container-DAP_Container-container type	FALCON_TUBE_15_ML	has_value
Container-DAP_Container	has stirbar	has_property
Container-DAP_Container-has stirbar	False	has_value
Container-DAP_Container	is capped	has_property
Container-DAP_Container-is capped	False	has_value
Container-DMF_Container	current hardware	has_property
Container-DMF_Container-current hardware	valve1	has_value
Container-DMF_Container	deck position	has_property
Container-DMF_Container-deck position	0	has_value
Container-DMF_Container	slot number	has_property
Container-DMF_Container-slot number	8	has_value
Container-DMF_Container	name	has_property
Container-DMF_Container-name	DMF_Container	has_value
Container-DMF_Container	current volume	has_property
Container-DMF_Container-current volume	500 mL	has_value
Container-DMF_Container	max volume	has_property
Container-DMF_Container-max volume	500 mL	has_value
Container-DMF_Container	container type	has_property
Container-DMF_Container-container type	None	has_value
Container-DMF_Container	has stirbar	has_property
Container-DMF_Container-has stirbar	False	has_value
Container-DMF_Container	is capped	has_property
Container-DMF_Container-is capped	False	has_value
Container-Centrifuge_Tube_50mL	current hardware	has_property
Container-Centrifuge_Tube_50mL-current hardware	falcon_tube_holder_50mL	has_value
Container-Centrifuge_Tube_50mL	deck position	has_property
Container-Centrifuge_Tube_50mL-deck position	0	has_value
Container-Centrifuge_Tube_50mL	slot number	has_property
Container-Centrifuge_Tube_50mL-slot number	1	has_value
Container-Centrifuge_Tube_50mL	name	has_property
Container-Centrifuge_Tube_50mL-name	Centrifuge_Tube_50mL	has_value
Container-Centrifuge_Tube_50mL	current volume	has_property
Container-Centrifuge_Tube_50mL-current volume	None	has_value
Container-Centrifuge_Tube_50mL	max volume	has_property
Container-Centrifuge_Tube_50mL-max volume	None	has_value
Container-Centrifuge_Tube_50mL	container type	has_property
Container-Centrifuge_Tube_50mL-container type	FALCON_TUBE_50_ML	has_value
Container-Centrifuge_Tube_50mL	has stirbar	has_property
Container-Centrifuge_Tube_50mL-has stirbar	False	has_value
Container-Centrifuge_Tube_50mL	is capped	has_property
Container-Centrifuge_Tube_50mL-is capped	True	has_value
Container-Centrifuge_Tube_50mL_Counterweight	current hardware	has_property
Container-Centrifuge_Tube_50mL_Counterweight-current hardware	falcon_tube_holder_50mL	has_value
Container-Centrifuge_Tube_50mL_Counterweight	deck position	has_property
Container-Centrifuge_Tube_50mL_Counterweight-deck position	0	has_value
Container-Centrifuge_Tube_50mL_Counterweight	slot number	has_property
Container-Centrifuge_Tube_50mL_Counterweight-slot number	1	has_value
Container-Centrifuge_Tube_50mL_Counterweight	name	has_property
Container-Centrifuge_Tube_50mL_Counterweight-name	Centrifuge_Tube_50mL_Counterweight	has_value
Container-Centrifuge_Tube_50mL_Counterweight	current volume	has_property
Container-Centrifuge_Tube_50mL_Counterweight-current volume	None	has_value
Container-Centrifuge_Tube_50mL_Counterweight	max volume	has_property
Container-Centrifuge_Tube_50mL_Counterweight-max volume	None	has_value
Container-Centrifuge_Tube_50mL_Counterweight	container type	has_property
Container-Centrifuge_Tube_50mL_Counterweight-container type	FALCON_TUBE_50_ML	has_value
Container-Centrifuge_Tube_50mL_Counterweight	has stirbar	has_property
Container-Centrifuge_Tube_50mL_Counterweight-has stirbar	False	has_value
Container-Centrifuge_Tube_50mL_Counterweight	is capped	has_property
Container-Centrifuge_Tube_50mL_Counterweight-is capped	True	has_value
Container-waste_container_valve1	current hardware	has_property
Container-waste_container_valve1-current hardware	valve1	has_value
Container-waste_container_valve1	deck position	has_property
Container-waste_container_valve1-deck position	0	has_value
Container-waste_container_valve1	slot number	has_property
Container-waste_container_valve1-slot number	0	has_value
Container-waste_container_valve1	name	has_property
Container-waste_container_valve1-name	waste_container_valve1	has_value
Container-waste_container_valve1	current volume	has_property
Container-waste_container_valve1-current volume	None	has_value
Container-waste_container_valve1	max volume	has_property
